sample_category,ticker,historical_period,pit_security,vendor_security_id,vendor_symbol,first_date,last_date,daily_ohlcv,adjusted_close,delisted_support,ticker_history,identity_status,coverage_status,notes
B_identity_chain_unresolved,DWDP,2017-09-01→2019-06-03,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker DWDP: NOT_FOUND (ValueError: ) Delisted suffix DWDP-201906: NOT_FOUND (ValueError: ) Expected identity: DowDuPont (historical listing). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Combination/split chain. Do not guess successor identity from current tickers.
C_still_listed_download_hole,AVB,2007-01-10→open,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker AVB: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: AvalonBay Communities. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
C_still_listed_download_hole,EA,2002-07-22→open,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker EA: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Electronic Arts. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
C_still_listed_download_hole,EQR,2001-12-03→open,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker EQR: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Equity Residential. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
C_still_listed_download_hole,BK,1996-01-02→2026-05-21,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker BK: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Bank of New York Mellon. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Left index in 2026; still listed. Need identity plus required window series.
C_still_listed_download_hole,MMC,1996-01-02→2026-01-14,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker MMC: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Marsh & McLennan. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
C_still_listed_download_hole,HOLX,2016-03-30→2026-04-09,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker HOLX: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Hologic. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Still-listed hole. Security-valid range starts 2016-03-30; do not require 2013 warmup.
D_ticker_change_successor_listed,COG,2008-06-23→2021-10-04,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker COG: NOT_FOUND (ValueError: ) Delisted suffix COG-202110: NOT_FOUND (ValueError: ) Expected identity: Cabot Oil & Gas / Coterra predecessor ticker. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Ticker change COG→CTRA. Same security_id expected if same security. Predecessor lookup may fail (Norgate current-symbol-only). Ticker-change COG->CTRA same assetid: NOT_TESTABLE.
D_ticker_change_successor_listed,CTRA,2021-10-04→2026-05-07,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker CTRA: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Coterra Energy successor ticker. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Successor of COG. Compare assetid with COG if both resolve. Ticker-change COG->CTRA same assetid: NOT_TESTABLE.
D_ticker_change_successor_listed,SYMC,2003-03-31→2019-11-05,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker SYMC: NOT_FOUND (ValueError: ) Delisted suffix SYMC-201911: NOT_FOUND (ValueError: ) Expected identity: Symantec predecessor ticker. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Ticker change SYMC→NLOK→GEN. Same security_id expected if same security. Ticker-change SYMC->GEN same assetid: NOT_TESTABLE.
D_ticker_change_successor_listed,GEN,2022-11-08→open,,146955,GEN,2024-09-03,,YES,YES,UNKNOWN,NO,LIVE_PARTIAL,NOT_TESTABLE,Current ticker GEN: assetid=146955 name='Gen Digital Inc Common' first=2024-09-03 last= Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Gen Digital successor ticker. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Successor of SYMC/NLOK. Local GEN.csv already exists; vendor identity still unproven. Ticker-change SYMC->GEN same assetid: NOT_TESTABLE.
D_ticker_change_successor_listed,PKI,1996-01-02→2023-05-16,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker PKI: NOT_FOUND (ValueError: ) Delisted suffix PKI-202305: NOT_FOUND (ValueError: ) Expected identity: PerkinElmer predecessor ticker. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Ticker change PKI→RVTY. Same security_id expected if same security. Ticker-change PKI->RVTY same assetid: NOT_TESTABLE.
D_ticker_change_successor_listed,RVTY,2023-05-16→open,,130027,RVTY,2024-09-03,,YES,YES,UNKNOWN,NO,LIVE_PARTIAL,NOT_TESTABLE,Current ticker RVTY: assetid=130027 name='Revvity Inc Common' first=2024-09-03 last= Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Revvity successor ticker. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Successor of PKI. Local RVTY.csv already exists; vendor identity still unproven. Ticker-change PKI->RVTY same assetid: NOT_TESTABLE.
E_ticker_recycling_risk,DO,2009-02-26→2016-10-03,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker DO: NOT_FOUND (ValueError: ) Delisted suffix DO-201610: NOT_FOUND (ValueError: ) Expected identity: Diamond Offshore (historical occupancy). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
E_ticker_recycling_risk,CHK,2006-03-03→2018-03-19,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker CHK: NOT_FOUND (ValueError: ) Delisted suffix CHK-201803: NOT_FOUND (ValueError: ) Expected identity: Chesapeake Energy (historical occupancy). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
E_ticker_recycling_risk,CA,1996-01-02→2018-11-06,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker CA: NOT_FOUND (ValueError: ) Delisted suffix CA-201811: NOT_FOUND (ValueError: ) Expected identity: CA Technologies (historical occupancy). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
E_ticker_recycling_risk,ADS,2013-12-23→2020-06-22,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker ADS: NOT_FOUND (ValueError: ) Delisted suffix ADS-202006: NOT_FOUND (ValueError: ) Expected identity: Alliance Data / Bread Financial predecessor occupancy. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
M_known_case,SE,2015 (Spectra Energy occupancy),spectra-energy,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,"Current ticker SE: assetid=2326776 name='Sea Limited Class A ADR' first=2024-09-03 last= Delisted suffix SE-201702: NOT_FOUND (ValueError: ) Current ticker resolved but is not historical identity for this occupancy; suffix miss keeps identity NOT_TESTABLE. Expected identity: Spectra Energy Corp. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. SE+2015 must be Spectra Energy, distinct assetid from Sea Limited. Local SE.csv is Sea. Do not blacklist SE."
M_known_case,SE,2018 (Sea Limited occupancy),sea-limited,2326776,SE,2024-09-03,,YES,YES,UNKNOWN,NO,LIVE_PARTIAL,NOT_TESTABLE,"Current ticker SE: assetid=2326776 name='Sea Limited Class A ADR' first=2024-09-03 last= Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Sea Limited. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. SE+2018 must be Sea Limited, distinct assetid from Spectra Energy."
M_known_case,HAR,2006-02-01→2017-03-13 (Harman International),harman-international,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker HAR: NOT_FOUND (ValueError: ) Delisted suffix HAR-201703: NOT_FOUND (ValueError: ) Expected identity: Harman International Industries. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. PIT is Harman. Local HAR.csv is an identity mismatch. Vendor must identify Harman as a distinct historical security with 2006–2017 bars.
M_known_case,HAR,current namesake lookup,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker HAR: NOT_FOUND (ValueError: ) Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Unknown current HAR instrument (not Harman). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Current HAR lookup must be distinguishable from Harman. Local HAR.csv first close ~18614 continuing to 2022-03-02 is not Harman.
M_known_case,ESRX,2003-09-26→2018-12-21,express-scripts,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,"Current ticker ESRX: NOT_FOUND (ValueError: ) Delisted suffix ESRX-201812: NOT_FOUND (ValueError: ) Expected identity: Express Scripts Holding Company. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must be Express Scripts, not Cigna. Local ESRX.csv ends 2018-12-21. ESRX is not automatically CI."
M_known_case,SQ,2015-11-19→2025-01-21 (Block Class A predecessor ticker),block-inc-class-a,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,"Current ticker SQ: NOT_FOUND (ValueError: ) Delisted suffix SQ-202501: NOT_FOUND (ValueError: ) Expected identity: Block, Inc. Class A. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Same Class A as XYZ. Vendor should preserve one assetid across SQ→XYZ. Predecessor ticker lookup may fail (current-symbol-only). Ticker-change SQ->XYZ same assetid: NOT_TESTABLE."
M_known_case,XYZ,2025-01-21→open (Block Class A successor ticker),block-inc-class-a,2104402,XYZ,2024-09-03,,YES,YES,UNKNOWN,NO,LIVE_PARTIAL,NOT_TESTABLE,"Current ticker XYZ: assetid=2104402 name='Block Inc Class A Common' first=2024-09-03 last= Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: Block, Inc. Class A. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Same Class A ticker change SQ→XYZ on 2025-01-21. Want same vendor security identity. PIT membership 2025-07-23→open. Ticker-change SQ->XYZ same assetid: NOT_TESTABLE."
M_known_case,WWE,predecessor of TKO (must not be silent TKO history),,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker WWE: NOT_FOUND (ValueError: ) Delisted suffix WWE-202309: NOT_FOUND (ValueError: ) Expected identity: World Wrestling Entertainment predecessor. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. WWE is a different issuer from TKO Group (CIK 0001973266). Not seeded. Probe whether vendor keeps a distinct identity.
M_known_case,TKO,2023-09-12→open (TKO Group Holdings),tko-group-holdings,144819,TKO,2024-09-03,,YES,YES,UNKNOWN,NO,LIVE_PARTIAL,NOT_TESTABLE,Current ticker TKO: assetid=144819 name='TKO Group Holdings Inc Class A Common' first=2024-09-03 last= Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: TKO Group Holdings. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. New issuer from 2023-09-12. Vendor must not silently serve WWE bars as TKO bars. PIT membership 2025-03-24→open.
M_known_case,GME,2013-07-08→2025-12-31 control,gamestop,124739,GME,2024-09-03,,YES,YES,UNKNOWN,NO,LIVE_PARTIAL,NOT_TESTABLE,Current ticker GME: assetid=124739 name='GameStop Corp Class A Common' first=2024-09-03 last= Delisted suffix: not applicable (still-listed / current occupant / PIT-exit). Expected identity: GameStop Corp.. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Control case: ordinary continuously listed security. One stable identity and daily history. PIT interval in coverage is 2007-12-14→2016-04-25; prices exist through 2025-12-31.
