probe_symbol,sample_category,historical_period,pit_seed_key,expected_identity,must_not_alias,security_valid_from,security_valid_to,local_identity_status,local_market_data_status,local_listing_csv,local_price_start,local_price_end,local_quality_status,local_reason,norgate_identity,norgate_asset_id,historical_ticker,first_date,last_date,required_history_available,delisted_status,identity_match,ticker_recycling_safe,adjusted_prices_available,volume_available,corporate_action_handling,verdict,notes
DO,E_ticker_recycling_risk,2009-02-26→2016-10-03,,Diamond Offshore (historical occupancy),current DO,2009-02-26,2016-10-03,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
CHK,E_ticker_recycling_risk,2006-03-03→2018-03-19,,Chesapeake Energy (historical occupancy),current CHK,2006-03-03,2018-03-19,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
CA,E_ticker_recycling_risk,1996-01-02→2018-11-06,,CA Technologies (historical occupancy),current CA,1996-01-02,2018-11-06,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
ADS,E_ticker_recycling_risk,2013-12-23→2020-06-22,,Alliance Data / Bread Financial predecessor occupancy,current ADS,2013-12-23,2020-06-22,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must not fetch the currently listed namesake. Needs historical occupancy + stable ID.
SE,M_known_case,2015 (Spectra Energy occupancy),spectra-energy,Spectra Energy Corp,sea-limited,2007-01-03,2017-02-27,RESOLVED,missing,true,2017-10-20,2025-12-31,not_applicable,C_ticker_recycled,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,"live trial not executed. Local SE.csv is Sea Limited from 2017-10-20; Spectra occupancy has no identity-safe local series. Same listing ticker maps to more than one security. Frozen hint: SE+2015 must be Spectra Energy, distinct assetid from Sea Limited. Local SE.csv is Sea. Do not blacklist SE."
SE,M_known_case,2018 (Sea Limited occupancy),sea-limited,Sea Limited,spectra-energy,2017-10-20,,RESOLVED,missing,true,2017-10-20,2025-12-31,not_applicable,C_ticker_recycled,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,"live trial not executed. Local SE.csv is Sea Limited; coverage.csv has no separate sea-limited PIT row (Spectra row occupies ticker SE). Same listing ticker maps to more than one security. Frozen hint: SE+2018 must be Sea Limited, distinct assetid from Spectra Energy."
HAR,M_known_case,2006-02-01→2017-03-13 (Harman International),harman-international,Harman International Industries,current HAR,2006-02-01,2017-03-13,RESOLVED,unusable,true,2013-07-08,2022-03-02,unusable,H_identity_validation_failed,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Local HAR.csv identity_mismatch (Harman vs later namesake). Unusable; membership kept. identity_mismatch Frozen hint: PIT is Harman. Local HAR.csv is an identity mismatch. Vendor must identify Harman as a distinct historical security with 2006–2017 bars.
HAR,M_known_case,current namesake lookup,,Unknown current HAR instrument (not Harman),harman-international,,,RESOLVED,unusable,true,2013-07-08,2022-03-02,unusable,H_identity_validation_failed,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Current HAR namesake is the local HAR.csv series (first close ~18614); not a PIT Harman membership row. identity_mismatch Frozen hint: Current HAR lookup must be distinguishable from Harman. Local HAR.csv first close ~18614 continuing to 2022-03-02 is not Harman.
ESRX,M_known_case,2003-09-26→2018-12-21,express-scripts,Express Scripts Holding Company,CI,2003-09-26,2018-12-21,RESOLVED,available,true,2013-07-08,2018-12-21,valid,F_delisted,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,"live trial not executed. Security listing ended; local series covers the PIT interval. Frozen hint: Must be Express Scripts, not Cigna. Local ESRX.csv ends 2018-12-21. ESRX is not automatically CI."
SQ,M_known_case,2015-11-19→2025-01-21 (Block Class A predecessor ticker),block-inc-class-a,"Block, Inc. Class A",,2015-11-19,2025-01-21,RESOLVED,available,true,2015-11-19,2025-12-31,valid,,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. PIT listing after change is XYZ; SQ predecessor ticker is not a coverage.csv historical_ticker. Local continuity is XYZ.csv. Local prices cover the PIT membership interval in this window. Frozen hint: Same Class A as XYZ. Vendor should preserve one assetid across SQ→XYZ. Predecessor ticker lookup may fail (current-symbol-only).
XYZ,M_known_case,2025-01-21→open (Block Class A successor ticker),block-inc-class-a,"Block, Inc. Class A",,2025-01-21,,RESOLVED,available,true,2015-11-19,2025-12-31,valid,,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Local prices cover the PIT membership interval in this window. Frozen hint: Same Class A ticker change SQ→XYZ on 2025-01-21. Want same vendor security identity. PIT membership 2025-07-23→open.
WWE,M_known_case,predecessor of TKO (must not be silent TKO history),,World Wrestling Entertainment predecessor,tko-group-holdings,,2023-09-12,NO_COVERAGE_ROW,unknown,unknown,,,,,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. WWE is not seeded and has no coverage.csv row. TKO is a new issuer from 2023-09-12. No matching coverage.csv row. Frozen hint: WWE is a different issuer from TKO Group (CIK 0001973266). Not seeded. Probe whether vendor keeps a distinct identity.
TKO,M_known_case,2023-09-12→open (TKO Group Holdings),tko-group-holdings,TKO Group Holdings,WWE,2023-09-12,,RESOLVED,available,true,2013-07-08,2025-12-31,valid,,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Local TKO.csv includes pre-2023 WWE-era bars that Security Master clips; not attributed to TKO. Local prices cover the PIT membership interval in this window. Frozen hint: New issuer from 2023-09-12. Vendor must not silently serve WWE bars as TKO bars. PIT membership 2025-03-24→open.
GME,M_known_case,2013-07-08→2025-12-31 control,gamestop,GameStop Corp.,,2007-12-14,2016-04-25,RESOLVED,available,true,2013-07-08,2025-12-31,valid,,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Local prices cover the PIT membership interval in this window. Frozen hint: Control case: ordinary continuously listed security. One stable identity and daily history. PIT interval in coverage is 2007-12-14→2016-04-25; prices exist through 2025-12-31.
